References	Qty	Description	Manufacturer	MPN	Mouser
J1	1	"USB Micro B Receptacle, Right Angle, SMD w/2 DIP Legs"	FCI	10118193-0001LF	
J2	1	"Combo TRS and Optical Tx Mini Jack, 3.5mm, Through Hole"	Aixin Opto-Electrical Technology	DLT13M1	
R5	1	"CHIP RESISTOR, 43.2 OHM, 0.1mW, 1%, 0402"	Panasonic	ERJ-2RKF43R2X	
C38	1	"CHIP CAPACITOR, CERAMIC, 22UF, 6.3V, 20%, X5R, 0603"	TDK	C1608X5R0J226M080AC	
C28	1	"Capacitor, Tantalum, 10uF, 10V, 900mR ESR, SMD, Case A"	AVX	TPSA106K010R0900	
"C30, C31, C39"	3	"CHIP CAPACITOR, CERAMIC, 4.7UF, 6.3V, 20%, X5R, 0402"	Murata	GRM155R60J475ME47D	
"C35, C36"	2	"CHIP CAPACITOR, CERAMIC, 10UF, 6.3V, 20%, X5R, 0603"	AVX	06036D106MAT2A	
"FB1, FB2"	2	"Ferrite Bead, 120R AT 100MHz, For Power Lines, 0603, 2A"	Murata	BLM18PG121SN1	
L1	1	"Power Inductor, 2.2uH, 1A, 143mR DCR, SMD"	Taiyo Yuden	BRC2012T2R2MD	
U5	1	"Stereo Audio DAC/HP Amp, 32 bit/384kHz, DSD, Output Switch, QFN40"	ESS Technology	SABRE9018Q2C	
U3	1	"Clock Generator, I2C Programmable, XTAL Input, 3 Outputs, Custom OTP, MSOP10"	Silicon Labs	Si5351A-B04486-GT	
U1	1	"XMOS xCORE-AUDIO Hi-Res USB Audio Interface, 64TQFP"	XMOS	XHRA-2HPA	
U4	1	"Single D-Type Flip Flop, Positive Edge Trigger, AHC Series, SC70-5"	NXP	74AHC1G79GW	
U2	1	"Memory, Flash, SPI, Multi-IO, 16Mb (8Kx256), SOIC-8"	ISSI	IS25LQ016B-JNLE	
U10	1	"Voltage Regulator, Linear, Fixed, 3V3, 250mA, Low Noise, SOT23-5"	Texas Instruments	LP5907MFX-3.3	
U8	1	"DC-DC Synchronous Buck Converter, Adjustable, 2MHz, 600mA, SOT23-5"	Texas Instruments	LM3674MFX-ADJ/NOPB	
U7	1	"Voltage Detector, Fixed, 2.8V, Active-Low, Open Drain Output, SOT-23-3"	STMicroelectronics	STM1061N28WX6F	
U9	1	"Sequencer, Adjustable, 0.6V Vref, Enable Input, Active-Low, Open Drain Output, SC70-6"	Analog Devices	ADM1085AKSZ	
U6	1	"Voltage Regulator, Linear, Fixed, 3V3, 300mA, SOT23-5"	Texas Instruments	TLV70233DBVR	
X1	1	"Crystal, 25MHz, Freq Tol. ±50ppm, Freq Stab. ±30ppm, CL 10pF, 3.2x2.5mm SMD"	Seiko Epson	FA-238 25.0000MB-K	
D1	1	"2-Channel ESD Protection Diode, 1.5pF, SOT-533"	Texas Instruments	TPD2E001DRLR	
"D4, D5"	2	"Bidirectional Transient Voltage Suppressor, 5V Stand-Off, SOD-923"	ON Semiconductor	ESD9B5.0ST5G	
"D2, D3"	2	"LED, GREEN, 0603"	Kingbright	APT1608CGCK	
R3	1	"CHIP RESISTOR, 4.7 OHM, 63mW, 5%, 0402"	Yageo	RC0402JR-074R7L	
R8	1	"CHIP RESISTOR, 33 OHM, 63mW, 1%, 0402"	Yageo	RC0402FR-0733RL	
R19	1	"CHIP RESISTOR, 330 OHM, 63mW, 1%, 0402"	Yageo	RC0402FR-07330RL	
"R4, R6, R7"	3	"CHIP RESISTOR, 1.0K OHM, 63mW, 1%, 0402"	Yageo	RC0402FR-071KL	
"R1, R2"	2	"CHIP RESISTOR, 2.2K OHM, 63mW, 1%, 0402"	Yageo	RC0402FR-072K2L	
R17	1	"CHIP RESISTOR, 3.9K OHM, 63mW, 1%, 0402"	Yageo	RC0402FR-073K9L	
"R15, R16, R18, R20, R21, R23, R24"	7	"CHIP RESISTOR, 10K OHM, 63mW, 1%, 0402"	Yageo	RC0402FR-0710KL	
"R9, R12, R22"	3	"CHIP RESISTOR, 4.7 OHM, 0.1W, 5%, 0603"	Yageo	RC0603JR-074R7L	
"R10, R11, R13, R14"	4	"CHIP RESISTOR, 806 OHM, 0.1W, 1%, 0603"	Yageo	RC0603FR-07806RL	
"C22, C23"	2	"CHIP CAPACITOR, CERAMIC, 100PF, 50V, 5%, NP0, 0402"	Yageo	CC0402JRNPO9BN101	
C44	1	"CHIP CAPACITOR, CERAMIC, 330PF, 50V, 10%, X7R, 0402"	Yageo	CC0402KRX7R9BB331	
C4	1	"CHIP CAPACITOR, CERAMIC, 1.0NF, 50V, 10%, X7R, 0402"	Yageo	CC0402KRX7R9BB102	
C46	1	"CHIP CAPACITOR, CERAMIC, 2.2NF, 50V, 10%, X7R, 0402"	Yageo	CC0402KRX7R9BB222	
"C1, C2, C3, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C25, C27, C29, C42, C49"	23	"CHIP CAPACITOR, CERAMIC, 100NF, 16V, 10%, X7R, 0402"	Yageo	CC0402KRX7R7BB104	
"C20, C21, C24, C26"	4	"CHIP CAPACITOR, CERAMIC, 2.2NF, 50V, 5%, NP0, 0603"	Murata	GRM1885C1H222JA01D	
C40	1	"CHIP CAPACITOR, CERAMIC, 1.0UF, 16V, 10%, X7R, 0603"	Yageo	CC0603KRX7R7BB105	
"C32, C33, C34, C41, C47, C48"	6	"CHIP CAPACITOR, CERAMIC, 2.2UF, 10V, 10%, X5R, 0603"	Murata	GRM188R61A225KE34D	
C37	1	"CHIP CAPACITOR, CERAMIC, 4.7UF, 6.3V, 10%, X5R, 0603"	Murata	GRM188R60J475KE19D	
C43	1	"CHIP CAPACITOR, CERAMIC, 4.7UF, 16V, 10%, X5R, 0805"	Murata	GRM21BR61C475KA88L	
C45	1	"CHIP CAPACITOR, CERAMIC, 10UF, 10V, 10%, X5R, 0805"	Murata	GRM21BR61A106KE19L	
